store_name,name,description,sku,price,stock_quantity,is_available
Магазин Электроники,Смартфон Samsung Galaxy,Флагманский смартфон с отличной камерой,SKU-001,45000.00,15,true
Магазин Электроники,Ноутбук ASUS,Игровой ноутбук с RTX 4060,SKU-002,85000.00,8,true
Магазин Электроники,Наушники Sony,Беспроводные наушники с шумоподавлением,SKU-003,12000.00,25,true
Магазин Одежды,Футболка хлопковая,100% хлопок, размеры S-XL,SKU-101,1500.00,50,true
Магазин Одежды,Джинсы классические,Классические джинсы синего цвета,SKU-102,3500.00,30,true
Магазин Одежды,Кроссовки Nike,Спортивные кроссовки для бега,SKU-103,5500.00,20,true
Магазин Мебели,Диван угловой,Угловой диван с механизмом трансформации,SKU-201,45000.00,5,true
Магазин Мебели,Стол письменный,Деревянный письменный стол 120x60,SKU-202,8500.00,12,true
Магазин Мебели,Стул офисный,Офисный стул с регулировкой высоты,SKU-203,3500.00,18,true

